,ic_id,ic_step,ic_maker,ic_category,ic_type1,ic_type2,ic_data,ic_time
307,27249,step2,samsung,GalaxyCore Advance,GalaxyCore Advance,,3,20210405114318
308,19926,step4,samsung,Galaxy A9 Pro,블랙,all,19,20210405114318
309,19925,step4,samsung,Galaxy A9 Pro,블루,128,11,20210405114318
310,26718,step2,lg,Nexus 5x,Nexus 5x,,5,20210405114318
311,19923,step4,samsung,Galaxy A9 Pro,블랙,128,17,20210405114318
312,19922,step3,samsung,Galaxy A9 Pro,128,,59,20210405114318
313,19921,step2,samsung,Galaxy A9 Pro,Galaxy A9 Pro,,70,20210405114318
314,27186,step4,samsung,Galaxy J4 Plus,골드,all,5,20210405114318
315,27433,step4,samsung,GalaxyNote8,메이플 골드,all,4,20210405114318
316,26697,step4,lg,G6 ThinQ,아이스 플래티넘,all,7,20210405114318
317,28407,step4,lg,K10,화이트,all,2,20210405114318
318,26700,step2,lg,X5 2018,X5 2018,,4,20210405114318
319,26414,step4,samsung,Galaxy Wide4,골드,all,20,20210405114318
320,19914,step4,samsung,Galaxy A30,레드,all,30,20210405114318
321,27620,step4,apple,iphone12 Pro,골드,128,42,20210405114318
322,19912,step4,samsung,Galaxy A30,블랙,all,43,20210405114318
323,19911,step4,samsung,Galaxy A30,레드,32,22,20210405114318
324,27671,step4,samsung,Galaxy A6 2018,골드,all,7,20210405114318
325,19909,step4,samsung,Galaxy A30,블랙,32,38,20210405114318
326,19908,step3,samsung,Galaxy A30,32,,115,20210405114318
327,19907,step2,samsung,Galaxy A30,Galaxy A30,,169,20210405114318
328,27618,step4,apple,iphone12 Pro,그래파이트,128,66,20210405114318
329,27619,step4,apple,iphone12 Pro,실버,128,27,20210405114318
330,26714,step4,samsung,Galaxy A40,블랙,64,7,20210405114318
331,26715,step4,samsung,Galaxy A40,블랙,all,7,20210405114318
332,27372,step4,samsung,Galaxy A51,프리즘 큐브 핑크,all,1,20210405114318
333,27650,step4,apple,iphone12 Pro Max,실버,all,46,20210405114318
334,19898,step4,samsung,Galaxy A50,코랄,all,13,20210405114318
335,28568,step4,apple,iphone4s,블랙,64,1,20210405114318
336,26618,step4,samsung,Galaxy J2 Pro,골드,all,10,20210405114318
337,25710,step4,samsung,GalaxyNote7,블루,64,2,20210405114318
338,19895,step4,samsung,Galaxy A50,코랄,64,10,20210405114318
339,27210,step4,apple,iphone6s Plus,골드,64,4,20210405114318
340,27617,step3,apple,iphone12 Pro,128,,247,20210405114318
